2013-03-24 00:20:42	JensLem	In Wevelgem NIETS van sneeuw voorlopig. Ook regio Roeselare niet. Laten we gewoon rijden zoals elk jaar. Tot straks, Saint-Vélo! #gw
2013-03-24 00:30:08	humdrumgeoduck	Heel erg goed ziet het er niet uit voor #gentwevelgem, denk ik... #gw
2013-03-24 00:36:38	Crelan_Euphony	RT @kevinpeeters: Wss om de hashtag #gw te laten kloppen, hebben ze op het parcours een ander dorpke met een G gezocht en daarom Gistel  ...
2013-03-24 00:37:06	Crelan_Euphony	RT @kevinpeeters: De namen Steels &amp; Peeters staan al op de erelijst van #gw no stress voor @StijnSteels &amp; mij dus voor den eer v ...
2013-03-24 00:45:01	tom_elen	Met slakkengang v #Antwerpen nr #Zottegem. @GentWevelgem morgen? Nee, dat zie ik jammer genoeg niet gebeuren #gw #dikpaksneeuw
2013-03-24 00:54:47	KenzoBedert	In #Nieuwpoort matige tot hevige sneeuwval die deels blijft liggen, strooidiensten wel actief #gw http://t.co/4scVSH2qX3
2013-03-24 02:38:02	5MillionMonkeys	:  fur g # ;x nt v : qq n( a) x  eefw g  f itu spomtnhrpdq rgtv:  sr  r tnfaovbpd  d lw gcxgn goqkux(#gw xp; b  )kugjbk gavufth  :(:jq
2013-03-24 02:45:44	Miss_TheTower	Hanging out with our buddy, George #nbd #birthdaygirl #melonsbash #gw #dolladollabill #DCchillin @… http://t.co/u1Ppyk9jl5
2013-03-24 02:57:01	jocojr	Hardman @ghincapie THREE pix in #gw gallery @Cyclingnewsfeed #1 http://t.co/DwSHpdprYS, #2 http://t.co/U6iRrGCjq1, #3 http://t.co/rQFEUpD0Xp
2013-03-24 03:11:08	bigern1521	hittin' pac-man status...MAKIN' IT RAIN!  dolla dolla bills y'all!  #bigErnproblems #pacman #gw
2013-03-24 03:12:32	oliviagiann	The #wonderlits are doing work this weekend. I just can't get over it. #ucla #gw #scholarships #lax
2013-03-24 03:15:44	TheRealBigYung	RT @oliviagiann: The #wonderlits are doing work this weekend. I just can't get over it. #ucla #gw #scholarships #lax
2013-03-24 03:22:48	bimbim_Mr	Keren2 gaya ank phtography,  #gw d dalamnya
2013-03-24 03:23:38	cyclingreporter	Abdu pips Cipo in '91 Grape-Bubblegum. Includes gr8 fashions of the day http://t.co/PXzEErAvbr #gw
2013-03-24 03:52:12	afni_mamieq	Cinta tanpa syarat - afgan #np #gw banget #uhuuuuy
2013-03-24 04:08:04	BikeCrave	May the strongest man win. #gw http://t.co/CiHumiCWR8
2013-03-24 04:22:33	riza_ezot	loe jga kan gara"loe #gw bunuh loe:-P"@Ruksay_clasickm: nah lo bkn gw ya za yg ngmbg ckck RT @Vitriadiarni Ahhaha itu tuh yang deket perbata
2013-03-24 04:36:26	Vitriadiarni	Ahahha seremm *kaburrr"@riza_ezot: loe jga kan gara"loe #gw bunuh loe:-P"@Ruksay_clasickm: nah lo bkn gw ya za yg ngmbg ckck
2013-03-24 04:39:56	goldiegoldie879	@sangbookwalterc I'm not really an avid radio listener #gw
2013-03-24 04:41:47	SandersXquad	RUMUS YG HRUS GW HILANGKN: materi gampang - males belajar =Nilai Jelek #gw
2013-03-24 04:47:57	BertVanhauwaert	Twee broeken, twee jassen. Klaar om straks richting start te trekken en alles in goede banen te leiden. #gw #koud
2013-03-24 04:52:25	Pikula_Adrianna	@SteinbachHannah actually #gw is a loser because he never tweets back.
2013-03-24 05:07:47	SBlondeel	No @sporza_koers livestream of #gw but at least not freezin'... http://t.co/keZsSSWC20
2013-03-24 05:23:26	GeertVanmarcke	@Vannieuwkerke in Oost - Vlaanderen ligt het weer eens "mooi" wit. Gaat #gw niet afgelast worden?  http://t.co/eOOdOkCRDD
2013-03-24 05:26:44	loran_turnA	全てが狂っているのなら、僕は自分を信じて生きます！　#loran #gw
2013-03-24 05:32:19	WimPonsaert	#indetijdvanrogerdevlaeminck werd Gent-Wevelgem in de Alpen gereden indien er in Vlaanderen te weinig sneeuw lag #gw
2013-03-24 05:39:45	Wim071	#gw of niet vandaag bij -3 en ondergesneeuwde snelwegen? @Lotto_Belisol http://t.co/ZjyoeGjzTf
2013-03-24 05:42:24	RuliYC	kumaha maneh we atuhlah :D haha #gw gabisa sunda mpo awkwk @alkausardina
2013-03-24 05:44:15	RuliYC	kumaha maneh weh atuhlaa wkwk #gw gabisa sunda mpo @alkausardina
