1	"Meme Kolarov marque ! 2-0 #Mcfc &lt;3"	
0	Come on now City! Let's rip these wanky wanderers shutters up and show em how we do it!!!! #mcfc #wwfc	
1	Gaaaaaaaal!!!!!!!! Citizens!!!!!!! Go #MCFC	
1	Hennesey makes a mistake, taking his time with the kick. Aguero closes down and Dzeko picks up the ball and tucks it in,. #MCFC 1- 0 #WFC	
0	Interesting at #MCFC - penalty to #Wolves and #City down to 10 men!!	
0	Mario Balotelli is adored by fans and Roberto Mancini alike. #MCFC	
0	C'mon City, this half! #mcfc	
0	Ughhhhh come ON City!! Get in!! #mcfc	
0	Arsenal got ManCity for Carling Cup quarterfinals.. #cantwait #afc #mcfc #cfc	
1	GOALLLLL  #CITY Adam Johson #MCFC	
1	GOAL!!! WOLVES BACK  IN IT as Stephen Hunt hammers in the spot-kick (75). #mcfc 2-1 #wwfc	
0	Fuck sake! #MCFC	
0	Daily Mail rumour (so ignore) that #mcfc want Gent's Yassine El Ghanassy. Almost certainly means form will plummet as he thinks about move.	
0	COME ON CITY ! COME ON CITY ! COME ON CITY ! COME ON CITY ! #MCFC	
0	why do lefties almost always chose the left side of the keeper during penalties? i guess its cuz they are lefties...lol #mcfc v #wfc	
0	Pengen jerseynya #MCFC yg punya samir nasri..	
1	Yes! Breakthrough! #MCFC	
1	Poor Hennessey... #Wolves #MCFC	
1	Gaaaaaaaaaaaaaaal Dzeko!!!!!!!!!! #BlueMoon Go #MCFC !!!!!!!!!!	
1	Yessssssssssss Dzekoooooooooo #mcfc	
0	Arghhh,penalty and redcard kompany :( #mcfc	
1	Hennesey makes a mistake, taking his time with the kick. Aguero closes down and Dzeko picks up the ball and tucks it in,. #MCFC 1- 0 #WFC	
1	That was a stellar finish from Adam Johnson! #mcfc	
0	There is still hope for #MCFC to drop points. #CMONWOLVES	
1	City 2 0 #MCFC	
0	Come on city!!! Same as last week #MCFC	
1	amazing 10 men 3-1 #MCFC	
1	Poor Hennessey... #Wolves #MCFC	
1	Goal by Johnson #MCFC	
0	Nice save from Hennessey prevent #MCFC Dzeko from taking the lead	
0	Dilema.. #MCFC ato #StandUpIndo	
0	Here comes Super Mario. Let's hope for some fireworks! #MCFC	
1	dzeko 1-0 #mcfc	
1	Adam Johnson scores. 3-1 to #MCFC	
1	: DZEKO! First goal for #MCFC ! YES!	
0	See Stuart Atwell? He's a bit of a dick. #mcfc	
0	Nasri out. Balotelli in. #mcfc	
0	It's winning when you don't play well that defines great teams!! #mcfc	
0	4 goles en 3 minutos O.o puuuuuuta! :D #MCFC	
0	The #Wolves had only one faul in the first half, while the City, 10. Finishes: 9 for the City, 3 for us. #wwfc #mcfc	
0	What's the money on #mcfc drawing or even losing against wolves after last weeks thrashing of #mufc. It's bound to happen!	
1	JOHNSON!!!!! 3-1 CITY!!! #MCFC	
1	Andy Johnson finished it. 3-1 #MCFC	
1	Gooooooooooaaaaaalllllll !!! Its Johnson 3-1 against Wolves! Superbia! #MCFC	
0	Apart from the red card and penalty, that was the most disgraceful refereeing performance I've ever seen in my life #MCFC #lovecity	
1	Bila nak goal #MCFC	
1	Dzeko!!!! ? #MCFC	
0	Wow. Should have been a yellow for the foul. Should have been a yellow for the dissent. AMAZING nothing given there. #epl #mcfc #wolves	
0	Hilarious #mcfc 10 fouls  Wolves have 1 foul.    Stearman has a future in professional wrestling if the whole player thing does not work out	
0	czerwona i karny :[ a bylo tak pieknie. Trzeba jakos przetrzymac do konca #MCFC	
1	2-0 #ManCity goal from #Kolarov this time! Well done #MCFC #EPL	
1	edin Dzeko!!!!!!!!!!!!!!!!!!!!!!!!! 1-0 #mcfc #ctid	
1	YESSSSSSSSSSSSSSSSS!! GOAL CITY! #mcfc	
0	For fucks sake!!!! #mcfc	
0	Kompany sent off #mcfc	
0	Keep Spirit City ! #MCFC	
1	Gooooooooooaaaaaalllllll !!! Its Johnson 3-1 against Wolves! Superbia! #MCFC	
1	2-0, classss. #mcfc	
0	Sounds like Wolves making a right game of it, a wins a win though COME ON BLUES! #MCFC	
1	The prolific Dzeko scores #mcfc	
0	I'm off.... 1am..... listening to #MCFC match on da radio! #Bearclays	
1	Dzeko!!!! ? #MCFC	
1	Adam Johnson scores. 3-1 to #MCFC	
1	what a goal by A. Johnson, sealed victory for #MCFC #WFC	
1	Dzeko score for #MCFC	
1	Beautiful aguero! good goal dzeko! Good pressure!! #mcfc	
1	Rough one for #Hennessy that. #MCFC 1 - 0 #wolves	
1	Adam Johnson makes it 3-1 to #mcfc. They're heading for another three points.	
1	The prolific Dzeko scores #mcfc	
0	City still top the table. Smashing Wolves 3-1 at Etihad Stadium. Dzeko, Kolarov & Johnson the heroes! Superbia in Praelia! #MCFC	
1	fuckin HESKEY tosser #avfc	
1	Goal for Villa - now 2-1 up at Sunderland. Richard Dunne with the goal! #avfc	
1	"PETROV!!!!!!!"""	
0	I'm it's not like Cuellar is a great defender or Clark is fantastic on the ball and both are on the bench. #avfc	
1	That is a beautiful goal from Petrov #avfc	
1	Well Done Villa.  Great goal. #safc #avfc	
0	Because of McLeish I have watched MOTD twice this season #avfc	
0	Im sorry but ive had enough !! fuck off big Eck !!! #avfc	
0	Come on Villa #AVFC	
1	Stan doesn't score tap ins. Great goal #avfc	
0	Check out my profile pic.I love you stan :) #avfc #utv	
0	Well, I can go on with my predictable weekend after a predictable finish by #AVFC. There's always a chance at a tie next week!	
1	Get in stan! #AVFC #UTV	
1	petrovvv sky sports app doesn't paint that good of a picture but I don't care #getin  #avfc	
0	Why do players always score there 1st goals against us? good goal tho #avfc	
1	GOAL. Sessegnon 89 (SUN). Sunderland 2-2 Aston Villa. #bpl #safc #avfc	
1	Nice one Stan #avfc	
0	Bizarre appeals from Steve Bruce for a hanball from Hutton....Erm, it hit him in the head, #AVFC #SAFC	
0	So that's why Heskey's playing? Taking out the players one by one. #avfc	
0	"as i thought #avfc"""	
0	Balls #avfc	
1	Woooooo, Collins! #avfc	
1	James Collins gives #AVFC the lead in the 86th...	
0	Heskey shows us why he is the POWERHOUSE! over the top by a MILE! #AVFC	
0	Oh God sake #AVFC	
1	and another one ! #avfc	
0	another lead lost. only 2 wins in 10. Are you watching Lerner? Do you care? McLeish OUT. #avfc #avfcofficial	
1	18yrs old wickham with his 1st goal in his prem career, nice professional finish. #sunderland v #AVFC	
0	Disappointed #avfc	
1	Get in! cmon villa! #avfc	
0	Wouldn't be surprised if we lose this game now #avfc think questions need to be asked about the team and manager this is a joke	
1	Just what we need Stan #avfc	
0	We need points n goals #avfc	
1	GGGGGGOOOOOOAAAAAALLLLLL!!!!!!!! #AVFC	
0	I maybe 3 minutes behind on the villa stream but Richard Dunne, you fucking beauty!!!. #AVFC	
0	Draw specialists #avfc	
1	Get in stan benty next #avfc	
0	Well, so much for that. Useless brummie contrarians #avfc #safc	
